course,completed,fake_name
dc_01,1,focused-varahamihira
dc_03,1,focused-varahamihira
dc_04,1,focused-varahamihira
dc_05,1,focused-varahamihira
dc_06,1,focused-varahamihira
dc_07,1,focused-varahamihira
dc_08,1,focused-varahamihira
dc_09,1,focused-varahamihira
dc_10,1,focused-varahamihira
dc_11,1,focused-varahamihira
dc_01,1,hungry-mayer
dc_03,1,hungry-mayer
dc_04,1,hungry-mayer
dc_05,1,hungry-mayer
dc_06,1,hungry-mayer
dc_07,1,hungry-mayer
dc_08,1,hungry-mayer
dc_09,1,hungry-mayer
dc_10,1,hungry-mayer
dc_11,1,hungry-mayer
dc_01,1,angry-bardeen
dc_03,1,angry-bardeen
dc_04,1,angry-bardeen
dc_05,1,angry-bardeen
dc_06,1,angry-bardeen
dc_07,1,angry-bardeen
dc_08,1,angry-bardeen
dc_09,1,angry-bardeen
dc_10,1,angry-bardeen
dc_11,1,angry-bardeen
dc_01,1,dazzling-bose
dc_03,1,dazzling-bose
dc_04,1,dazzling-bose
dc_05,1,dazzling-bose
dc_06,1,dazzling-bose
dc_07,1,dazzling-bose
dc_08,0,dazzling-bose
dc_09,1,dazzling-bose
dc_10,1,dazzling-bose
dc_11,1,dazzling-bose
dc_01,1,zealous-sinoussi
dc_03,1,zealous-sinoussi
dc_04,1,zealous-sinoussi
dc_05,1,zealous-sinoussi
dc_06,1,zealous-sinoussi
dc_07,1,zealous-sinoussi
dc_08,1,zealous-sinoussi
dc_09,1,zealous-sinoussi
dc_10,1,zealous-sinoussi
dc_11,1,zealous-sinoussi
dc_01,1,eloquent-ardinghelli
dc_03,1,eloquent-ardinghelli
dc_04,1,eloquent-ardinghelli
dc_05,1,eloquent-ardinghelli
dc_06,1,eloquent-ardinghelli
dc_07,1,eloquent-ardinghelli
dc_08,1,eloquent-ardinghelli
dc_09,0,eloquent-ardinghelli
dc_10,0,eloquent-ardinghelli
dc_11,0,eloquent-ardinghelli
dc_01,1,mystifying-kalam
dc_03,1,mystifying-kalam
dc_04,1,mystifying-kalam
dc_05,1,mystifying-kalam
dc_06,1,mystifying-kalam
dc_07,1,mystifying-kalam
dc_08,1,mystifying-kalam
dc_09,1,mystifying-kalam
dc_10,0,mystifying-kalam
dc_11,1,mystifying-kalam
dc_01,1,cocky-keller
dc_03,1,cocky-keller
dc_04,1,cocky-keller
dc_05,1,cocky-keller
