course,completed,fake_name
dc_1,1,peaceful-snyder
dc_1,1,hungry-mayer
dc_1,1,angry-bardeen
dc_1,1,zealous-sinoussi
dc_1,1,eloquent-ardinghelli
dc_1,1,mystifying-kalam
dc_1,1,musing-lamport
dc_1,1,cocky-keller
dc_1,1,trusting-pasteur
dc_1,1,jolly-austin
dc_1,1,friendly-villani
dc_1,1,tender-brown
dc_1,1,dazzling-bose
dc_1,1,pensive-noyce
dc_1,1,wonderful-tesla
dc_1,1,vibrant-shaw
dc_1,1,focused-varahamihira
dc_1,1,laughing-leakey
dc_1,1,dreamy-visvesvaraya
dc_1,1,naughty-albattani
dc_1,1,determined-banach
dc_1,1,heuristic-benz
dc_1,1,clever-neumann
dc_1,1,awesome-golick
dc_1,1,vigorous-chandrasekhar
dc_1,1,goofy-bohr
dc_1,1,eager-mestorf
dc_2,0,peaceful-snyder
dc_2,0,hungry-mayer
dc_2,1,angry-bardeen
dc_2,1,zealous-sinoussi
dc_2,1,eloquent-ardinghelli
dc_2,0,mystifying-kalam
dc_2,0,musing-lamport
dc_2,0,cocky-keller
dc_2,0,trusting-pasteur
dc_2,0,jolly-austin
dc_2,0,friendly-villani
dc_2,0,tender-brown
dc_2,1,dazzling-bose
dc_2,0,pensive-noyce
dc_2,0,wonderful-tesla
dc_2,0,vibrant-shaw
dc_2,0,focused-varahamihira
dc_2,0,laughing-leakey
dc_2,1,dreamy-visvesvaraya
dc_2,1,naughty-albattani
dc_2,1,determined-banach
dc_2,0,heuristic-benz
dc_2,0,clever-neumann
dc_2,0,awesome-golick
dc_2,0,vigorous-chandrasekhar
dc_2,1,goofy-bohr
dc_2,0,eager-mestorf
dc_3,1,peaceful-snyder
dc_3,1,hungry-mayer
dc_3,1,angry-bardeen
dc_3,1,zealous-sinoussi
dc_3,1,eloquent-ardinghelli
dc_3,1,mystifying-kalam
dc_3,1,musing-lamport
dc_3,1,cocky-keller
dc_3,1,trusting-pasteur
dc_3,1,jolly-austin
dc_3,1,friendly-villani
dc_3,1,tender-brown
dc_3,1,dazzling-bose
dc_3,1,pensive-noyce
dc_3,1,wonderful-tesla
dc_3,0,vibrant-shaw
dc_3,1,focused-varahamihira
dc_3,1,laughing-leakey
dc_3,1,dreamy-visvesvaraya
dc_3,1,naughty-albattani
dc_3,1,determined-banach
dc_3,1,heuristic-benz
dc_3,1,clever-neumann
dc_3,1,awesome-golick
dc_3,1,vigorous-chandrasekhar
dc_3,1,goofy-bohr
dc_3,1,eager-mestorf
dc_4,1,peaceful-snyder
dc_4,1,hungry-mayer
dc_4,1,angry-bardeen
dc_4,1,zealous-sinoussi
dc_4,1,eloquent-ardinghelli
dc_4,1,mystifying-kalam
dc_4,1,musing-lamport
dc_4,1,cocky-keller
dc_4,1,trusting-pasteur
dc_4,1,jolly-austin
dc_4,1,friendly-villani
dc_4,1,tender-brown
dc_4,1,dazzling-bose
dc_4,1,pensive-noyce
dc_4,1,wonderful-tesla
dc_4,1,vibrant-shaw
dc_4,1,focused-varahamihira
dc_4,1,laughing-leakey
dc_4,1,dreamy-visvesvaraya
dc_4,1,naughty-albattani
dc_4,1,determined-banach
dc_4,0,heuristic-benz
dc_4,1,clever-neumann
dc_4,1,awesome-golick
dc_4,1,vigorous-chandrasekhar
dc_4,0,goofy-bohr
dc_4,1,eager-mestorf
dc_5,1,peaceful-snyder
dc_5,1,hungry-mayer
dc_5,1,angry-bardeen
dc_5,1,zealous-sinoussi
dc_5,1,eloquent-ardinghelli
dc_5,1,mystifying-kalam
dc_5,1,musing-lamport
dc_5,1,cocky-keller
dc_5,1,trusting-pasteur
dc_5,1,jolly-austin
dc_5,1,friendly-villani
dc_5,1,tender-brown
dc_5,1,dazzling-bose
dc_5,1,pensive-noyce
dc_5,1,wonderful-tesla
dc_5,1,vibrant-shaw
dc_5,1,focused-varahamihira
dc_5,1,laughing-leakey
dc_5,1,dreamy-visvesvaraya
dc_5,1,naughty-albattani
dc_5,1,determined-banach
dc_5,1,heuristic-benz
dc_5,1,clever-neumann
dc_5,1,awesome-golick
dc_5,1,vigorous-chandrasekhar
dc_5,1,goofy-bohr
dc_5,1,eager-mestorf
