lab,grade,fake_name
lab_02,3,focused-varahamihira
lab_02,2,hungry-mayer
lab_02,2,angry-bardeen
lab_02,0,dazzling-bose
lab_02,2,zealous-sinoussi
lab_02,2,eloquent-ardinghelli
lab_02,3,mystifying-kalam
lab_02,2,cocky-keller
lab_02,2,trusting-pasteur
lab_02,2,jolly-austin
lab_02,3,friendly-villani
lab_02,2,musing-lamport
lab_02,0,tender-brown
lab_02,0,vibrant-shaw
lab_02,3,pensive-noyce
lab_02,1,laughing-leakey
lab_02,2,dreamy-visvesvaraya
lab_02,2,wonderful-tesla
lab_02,2,naughty-albattani
lab_02,2,peaceful-snyder
lab_02,0,determined-banach
lab_02,2,heuristic-benz
lab_02,2,clever-neumann
lab_02,2,awesome-golick
lab_02,2,vigorous-chandrasekhar
lab_02,0,goofy-bohr
lab_02,2,eager-mestorf
lab_03,2,focused-varahamihira
lab_03,3,hungry-mayer
lab_03,2,angry-bardeen
lab_03,1,dazzling-bose
lab_03,2,zealous-sinoussi
lab_03,2,eloquent-ardinghelli
lab_03,2,mystifying-kalam
lab_03,2,cocky-keller
lab_03,2,trusting-pasteur
lab_03,2,jolly-austin
lab_03,2,friendly-villani
lab_03,2,musing-lamport
lab_03,2,tender-brown
lab_03,1,vibrant-shaw
lab_03,3,pensive-noyce
lab_03,2,laughing-leakey
lab_03,2,dreamy-visvesvaraya
lab_03,2,wonderful-tesla
lab_03,2,naughty-albattani
lab_03,0,peaceful-snyder
lab_03,2,determined-banach
lab_03,2,heuristic-benz
lab_03,2,clever-neumann
lab_03,2,awesome-golick
lab_03,2,vigorous-chandrasekhar
lab_03,2,goofy-bohr
lab_03,2,eager-mestorf
lab_04,2,focused-varahamihira
lab_04,3,hungry-mayer
lab_04,2,angry-bardeen
lab_04,1,dazzling-bose
lab_04,2,zealous-sinoussi
lab_04,2,eloquent-ardinghelli
lab_04,2,mystifying-kalam
lab_04,3,cocky-keller
lab_04,2,trusting-pasteur
lab_04,2,jolly-austin
lab_04,3,friendly-villani
lab_04,2,musing-lamport
lab_04,2,tender-brown
lab_04,2,vibrant-shaw
lab_04,2,pensive-noyce
lab_04,3,laughing-leakey
lab_04,2,dreamy-visvesvaraya
lab_04,3,wonderful-tesla
lab_04,2,naughty-albattani
lab_04,3,peaceful-snyder
lab_04,3,determined-banach
lab_04,1,heuristic-benz
lab_04,0,clever-neumann
lab_04,3,awesome-golick
lab_04,2,vigorous-chandrasekhar
lab_04,2,goofy-bohr
lab_04,2,eager-mestorf
lab_05,2,focused-varahamihira
lab_05,3,hungry-mayer
lab_05,2,angry-bardeen
lab_05,2,dazzling-bose
lab_05,3,zealous-sinoussi
lab_05,2,eloquent-ardinghelli
lab_05,3,mystifying-kalam
