lab,grade,fake_name
lab_02,3,focused-varahamihira
lab_03,2,focused-varahamihira
lab_04,2,focused-varahamihira
lab_05,2,focused-varahamihira
lab_06a,2,focused-varahamihira
lab_06b,2,focused-varahamihira
lab_07,2,focused-varahamihira
lab_08,3,focused-varahamihira
lab_09,2,focused-varahamihira
lab_10,2,focused-varahamihira
lab_11a,2,focused-varahamihira
lab_11b,2,focused-varahamihira
lab_12,2,focused-varahamihira
lab_13,2,focused-varahamihira
lab_14,2,focused-varahamihira
lab_15a,2,focused-varahamihira
lab_15b,2,focused-varahamihira
lab_16,0,focused-varahamihira
lab_17,1,focused-varahamihira
lab_18,2,focused-varahamihira
lab_19a,2,focused-varahamihira
lab_19b,2.0,focused-varahamihira
lab_02,2,hungry-mayer
lab_03,3,hungry-mayer
lab_04,3,hungry-mayer
lab_05,3,hungry-mayer
lab_06a,2,hungry-mayer
lab_06b,3,hungry-mayer
lab_07,2,hungry-mayer
lab_08,2,hungry-mayer
lab_09,3,hungry-mayer
lab_10,3,hungry-mayer
lab_11a,2,hungry-mayer
lab_11b,2,hungry-mayer
lab_12,2,hungry-mayer
lab_13,2,hungry-mayer
lab_14,2,hungry-mayer
lab_15a,2,hungry-mayer
lab_15b,2,hungry-mayer
lab_16,3,hungry-mayer
lab_17,2,hungry-mayer
lab_18,3,hungry-mayer
lab_19a,2,hungry-mayer
lab_19b,2.0,hungry-mayer
lab_02,2,angry-bardeen
lab_03,2,angry-bardeen
lab_04,2,angry-bardeen
lab_05,2,angry-bardeen
lab_06a,2,angry-bardeen
lab_06b,2,angry-bardeen
lab_07,2,angry-bardeen
lab_08,2,angry-bardeen
lab_09,2,angry-bardeen
lab_10,3,angry-bardeen
lab_11a,2,angry-bardeen
lab_11b,3,angry-bardeen
lab_12,2,angry-bardeen
lab_13,2,angry-bardeen
lab_14,3,angry-bardeen
lab_15a,2,angry-bardeen
lab_15b,3,angry-bardeen
lab_16,2,angry-bardeen
lab_17,1,angry-bardeen
lab_18,2,angry-bardeen
lab_19a,2,angry-bardeen
lab_19b,2.0,angry-bardeen
lab_02,0,dazzling-bose
lab_03,1,dazzling-bose
lab_04,1,dazzling-bose
lab_05,2,dazzling-bose
lab_06a,0,dazzling-bose
lab_06b,1,dazzling-bose
lab_07,1,dazzling-bose
lab_08,2,dazzling-bose
lab_09,0,dazzling-bose
lab_10,3,dazzling-bose
lab_11a,1,dazzling-bose
lab_11b,2,dazzling-bose
lab_12,1,dazzling-bose
lab_13,2,dazzling-bose
lab_14,2,dazzling-bose
lab_15a,0,dazzling-bose
lab_15b,1,dazzling-bose
lab_16,0,dazzling-bose
lab_17,1,dazzling-bose
lab_18,2,dazzling-bose
lab_19a,2,dazzling-bose
lab_19b,1.0,dazzling-bose
lab_02,2,zealous-sinoussi
lab_03,2,zealous-sinoussi
lab_04,2,zealous-sinoussi
lab_05,3,zealous-sinoussi
lab_06a,2,zealous-sinoussi
lab_06b,3,zealous-sinoussi
lab_07,2,zealous-sinoussi
lab_08,2,zealous-sinoussi
lab_09,2,zealous-sinoussi
lab_10,3,zealous-sinoussi
lab_11a,2,zealous-sinoussi
lab_11b,2,zealous-sinoussi
lab_12,2,zealous-sinoussi
lab_13,3,zealous-sinoussi
lab_14,2,zealous-sinoussi
lab_15a,2,zealous-sinoussi
lab_15b,2,zealous-sinoussi
lab_16,2,zealous-sinoussi
lab_17,2,zealous-sinoussi
lab_18,3,zealous-sinoussi
lab_19a,2,zealous-sinoussi
lab_19b,3.0,zealous-sinoussi
lab_02,2,eloquent-ardinghelli
lab_03,2,eloquent-ardinghelli
lab_04,2,eloquent-ardinghelli
lab_05,2,eloquent-ardinghelli
lab_06a,2,eloquent-ardinghelli
lab_06b,3,eloquent-ardinghelli
lab_07,2,eloquent-ardinghelli
lab_08,2,eloquent-ardinghelli
